ax,ay,az,gx,gy,gz,timestamp
-436.53,146.58,936.03,2.78,12.67,22.40,1764851102.974096
-436.45,143.34,918.33,-2.14,40.47,17.54,1764851102.974096
-436.53,136.84,899.23,-2.72,27.50,9.51,1764851102.974096
-437.05,131.76,881.64,-14.91,29.98,26.38,1764851102.9809945
-438.25,133.15,860.85,-16.87,23.08,24.23,1764851102.9838076
-438.66,128.63,841.37,-24.54,3.12,-11.81,1764851102.9855502
-440.06,119.83,826.31,-8.86,-21.65,-5.54,1764851102.9855502
-442.45,119.71,826.42,-11.13,-35.20,12.69,1764851102.9855502
-445.68,123.05,825.00,-28.36,-68.92,2.99,1764851102.9890933
-449.48,123.94,859.50,-27.11,-88.88,20.84,1764851102.9926062
-457.81,118.55,942.83,-12.24,-89.95,14.41,1764851102.9926062
-464.14,124.47,1035.10,3.39,-87.26,30.55,1764851102.9926062
-468.47,148.70,1124.94,37.69,-57.07,37.67,1764851102.9974442
-471.70,189.54,1189.90,46.13,14.49,27.22,1764851103.0007079
-470.84,220.21,1223.51,56.01,93.02,9.94,1764851103.0011117
-466.37,226.33,1249.54,92.31,169.66,-19.15,1764851103.003978
-463.31,208.13,1269.56,123.16,258.21,-49.28,1764851103.005181
-456.96,172.41,1261.67,141.29,352.68,-62.59,1764851103.005181
-450.07,136.05,1218.07,139.00,436.58,-50.50,1764851103.0085156
-444.06,116.09,1149.51,150.25,514.79,-40.23,1764851103.0109475
-441.35,125.83,1080.88,159.81,581.87,-23.99,1764851103.0135796
-438.45,144.30,993.45,182.34,624.49,-29.69,1764851103.014949
-437.18,160.01,901.58,207.19,636.12,-40.54,1764851103.017838
-438.50,170.51,814.20,226.51,634.30,-79.76,1764851103.019306
-441.88,172.53,744.42,219.83,605.16,-94.79,1764851103.021828
-447.30,167.35,697.70,199.76,566.58,-88.38,1764851103.021828
-450.10,162.05,676.60,167.09,531.10,-102.42,1764851103.0265188
-455.04,173.14,644.56,146.53,511.43,-94.86,1764851103.0278234
-457.73,183.62,595.28,106.85,473.72,-93.83,1764851103.0298812
-460.02,169.88,542.58,94.12,436.56,-127.45,1764851103.0323658
-462.72,130.00,458.65,75.80,361.48,-139.24,1764851103.0345151
-461.26,77.80,355.35,55.43,268.85,-124.05,1764851103.0360317
-452.22,50.83,280.75,27.32,148.13,-98.54,1764851103.0374405
-438.54,56.70,230.53,-6.48,-4.59,-66.96,1764851103.0374405
-417.01,50.90,208.70,-26.51,-146.40,-32.92,1764851103.0374405
-388.81,36.96,186.25,11.37,-297.24,-21.08,1764851103.0442932
-357.19,15.37,190.11,0.06,-453.36,13.28,1764851103.045666
-324.31,-2.09,214.54,-27.55,-601.35,42.49,1764851103.0482483
-292.31,15.63,225.26,-67.51,-741.25,61.02,1764851103.049828
-257.01,-23.32,172.87,-115.59,-870.66,53.96,1764851103.0508726
-226.41,-107.87,85.74,-134.55,-1037.36,85.77,1764851103.0540435
-188.10,-154.39,79.48,-232.27,-1276.56,151.80,1764851103.0568182
-152.39,-112.03,173.01,-257.43,-1526.38,241.23,1764851103.0568182
-165.08,2.42,342.51,-242.81,-1753.72,282.75,1764851103.0607305
-155.02,168.56,598.18,-220.79,-1885.46,295.54,1764851103.062478
-163.86,258.03,815.50,-224.87,-1842.34,268.91,1764851103.0656362
-176.48,279.62,1000.23,-232.84,-1645.19,232.17,1764851103.0684779
-185.86,242.63,1157.24,-246.52,-1306.61,209.34,1764851103.070468
-173.13,213.88,1290.71,-224.84,-847.52,192.04,1764851103.070468
-147.46,213.75,1404.15,-193.51,-352.59,188.44,1764851103.0757022
-119.64,219.94,1427.83,-150.99,87.60,184.17,1764851103.0757022
-90.30,245.30,1362.45,-56.04,481.86,159.85,1764851103.0785692
-72.55,193.80,1238.64,18.97,797.48,121.77,1764851103.082333
-62.87,146.43,1082.84,80.92,1017.76,122.10,1764851103.0845559
-64.09,131.97,915.16,73.28,1170.19,121.79,1764851103.0850856
-73.83,132.12,783.59,94.39,1247.56,144.32,1764851103.0877032
-86.15,167.05,675.65,141.13,1295.63,148.17,1764851103.0985303
-104.58,187.75,579.55,158.96,1283.39,130.45,1764851103.1197932
-124.59,159.88,498.17,162.42,1263.68,107.88,1764851103.139048
-146.25,139.95,420.45,183.06,1216.33,100.10,1764851103.158707
-172.77,135.31,350.63,140.30,1141.88,100.08,1764851103.1822898
-201.90,162.41,296.08,112.05,1050.40,106.07,1764851103.2015173
-232.52,180.05,238.32,63.14,937.84,84.76,1764851103.2175596
-256.89,197.44,209.17,8.37,813.66,73.85,1764851103.2436554
-277.45,212.23,201.95,10.12,697.61,36.37,1764851103.2658527
-297.19,199.44,195.81,-22.00,561.77,9.91,1764851103.2865367
-316.06,146.58,146.48,-46.00,407.90,-16.17,1764851103.308125
-332.25,105.54,93.76,-95.20,245.32,-8.65,1764851103.326709
-343.46,118.66,68.45,-167.62,63.32,10.95,1764851103.3486962
-347.14,166.56,80.23,-220.48,-120.78,12.01,1764851103.3690517
-344.27,191.38,112.75,-241.11,-290.16,-19.49,1764851103.3906531
-338.38,180.07,148.33,-268.54,-484.54,-24.97,1764851103.4137232
-336.52,219.51,189.38,-274.46,-645.56,-51.22,1764851103.4341261
-335.55,273.28,219.63,-298.69,-788.12,-78.34,1764851103.4512389
-323.31,256.14,229.28,-328.59,-906.90,-120.29,1764851103.474578
-304.07,312.07,218.44,-333.30,-1055.27,-161.95,1764851103.498461
