ax,ay,az,gx,gy,gz,timestamp
-100.14,144.71,1561.76,-105.20,-89.66,463.83,1764851059.8396266
-75.52,169.05,1546.05,-103.52,290.39,474.65,1764851059.8417444
-57.29,189.14,1469.54,-64.60,608.63,459.56,1764851059.8432739
-51.85,211.02,1334.46,-19.21,889.34,438.02,1764851059.8445227
-61.47,230.82,1158.44,-26.23,1096.73,428.42,1764851059.8445227
-75.05,257.10,957.52,-60.69,1222.62,406.16,1764851059.8504434
-94.39,289.48,802.34,-48.89,1269.93,368.63,1764851059.851577
-115.63,294.06,695.64,-75.15,1273.54,321.14,1764851059.8544521
-143.44,276.20,609.00,-118.48,1247.51,273.87,1764851059.85624
-168.27,262.97,548.10,-147.81,1189.68,242.69,1764851059.85624
-193.43,254.42,510.28,-147.54,1132.43,222.48,1764851059.8613982
-214.82,248.36,484.44,-181.21,1067.87,190.01,1764851059.861983
-238.09,261.51,445.07,-179.23,997.39,169.31,1764851059.864827
-262.23,279.43,393.46,-181.74,920.68,137.91,1764851059.864827
-286.80,288.37,325.14,-179.38,817.68,89.33,1764851059.8806522
-310.23,284.41,278.92,-151.27,703.13,20.13,1764851059.8980258
-329.39,264.85,244.43,-168.48,558.66,-50.39,1764851059.922417
-345.68,230.97,210.47,-133.91,427.76,-92.93,1764851059.9434729
-355.48,214.18,187.30,-115.92,258.59,-104.49,1764851059.964265
-359.76,201.85,177.20,-104.84,99.51,-112.82,1764851059.9848967
-362.50,176.07,188.12,-116.41,-77.42,-123.20,1764851060.0015678
-359.57,171.26,234.15,-155.05,-256.01,-124.52,1764851060.02811
-350.64,198.22,310.48,-139.89,-390.41,-144.84,1764851060.0479064
-341.69,188.44,361.26,-112.61,-510.65,-173.81,1764851060.068004
-330.19,177.87,385.97,-73.52,-613.15,-182.24,1764851060.078353
-315.16,188.99,402.02,-90.09,-723.08,-220.31,1764851060.1119146
-304.18,202.34,378.92,-77.48,-831.21,-243.06,1764851060.1319375
-290.81,239.49,342.48,-58.65,-959.43,-263.90,1764851060.1519215
-270.89,291.17,355.16,-16.86,-1130.22,-291.22,1764851060.16146
-240.90,330.89,409.74,31.27,-1290.99,-345.63,1764851060.1956937
-208.22,382.51,511.63,20.28,-1455.24,-425.19,1764851060.2145288
